portPowerLabel,enableMimoFeedback,rankLimit,gnbUeDistance,Metric,Value
default,1,4,520,Tx Bytes,15420000
default,1,4,520,TxOffered,205.600000
default,1,4,520,Rx Bytes,13171764
default,1,4,520,Throughput,175.623520
default,1,4,520,Mean delay,20.729067
default,1,4,520,Mean jitter,0.079082
default,1,4,520,Rx Packets,12813
default,1,4,540,Tx Packets,15000
default,1,4,540,Tx Bytes,15420000
default,1,4,540,TxOffered,205.600000
default,1,4,540,Rx Bytes,13171764
default,1,4,540,Throughput,175.623520
default,1,4,540,Mean delay,21.044767
default,1,4,540,Mean jitter,0.078714
default,1,4,540,Rx Packets,12813
default,1,4,560,Tx Packets,15000
default,1,4,560,Tx Bytes,15420000
default,1,4,560,TxOffered,205.600000
default,1,4,560,Rx Bytes,13426708
default,1,4,560,Throughput,179.022773
default,1,4,560,Mean delay,20.261296
default,1,4,560,Mean jitter,0.078766
default,1,4,560,Rx Packets,13061
default,1,4,580,Tx Packets,15000
default,1,4,580,Tx Bytes,15420000
default,1,4,580,TxOffered,205.600000
default,1,4,580,Rx Bytes,13204660
default,1,4,580,Throughput,176.062133
default,1,4,580,Mean delay,58.688873
default,1,4,580,Mean jitter,0.079455
default,1,4,580,Rx Packets,12845
default,1,4,600,Tx Packets,15000
default,1,4,600,Tx Bytes,15420000
default,1,4,600,TxOffered,205.600000
default,1,4,600,Rx Bytes,11343980
default,1,4,600,Throughput,151.253067
default,1,4,600,Mean delay,73.706584
default,1,4,600,Mean jitter,0.086217
default,1,4,600,Rx Packets,11035
default,1,4,620,Tx Packets,15000
default,1,4,620,Tx Bytes,15420000
default,1,4,620,TxOffered,205.600000
default,1,4,620,Rx Bytes,12242452
default,1,4,620,Throughput,163.232693
default,1,4,620,Mean delay,42.821094
default,1,4,620,Mean jitter,0.082643
default,1,4,620,Rx Packets,11909
default,1,4,640,Tx Packets,15000
default,1,4,640,Tx Bytes,15420000
default,1,4,640,TxOffered,205.600000
default,1,4,640,Rx Bytes,11284356
default,1,4,640,Throughput,150.458080
default,1,4,640,Mean delay,66.897501
default,1,4,640,Mean jitter,0.086621
default,1,4,640,Rx Packets,10977
default,1,4,660,Tx Packets,15000
default,1,4,660,Tx Bytes,15420000
default,1,4,660,TxOffered,205.600000
default,1,4,660,Rx Bytes,11223704
default,1,4,660,Throughput,149.649387
default,1,4,660,Mean delay,86.030001
default,1,4,660,Mean jitter,0.088001
default,1,4,660,Rx Packets,10918
default,1,4,680,Tx Packets,15000
default,1,4,680,Tx Bytes,15420000
default,1,4,680,TxOffered,205.600000
default,1,4,680,Rx Bytes,11299776
default,1,4,680,Throughput,150.663680
default,1,4,680,Mean delay,100.387981
default,1,4,680,Mean jitter,0.088221
default,1,4,680,Rx Packets,10992
default,1,4,700,Tx Packets,15000
default,1,4,700,Tx Bytes,15420000
default,1,4,700,TxOffered,205.600000
default,1,4,700,Rx Bytes,11125016
default,1,4,700,Throughput,148.333547
default,1,4,700,Mean delay,117.393789
default,1,4,700,Mean jitter,0.086524
default,1,4,700,Rx Packets,10822
default,1,4,720,Tx Packets,15000
default,1,4,720,Tx Bytes,15420000
default,1,4,720,TxOffered,205.600000
default,1,4,720,Rx Bytes,11792188
default,1,4,720,Throughput,157.229173
default,1,4,720,Mean delay,82.127005
default,1,4,720,Mean jitter,0.087305
default,1,4,720,Rx Packets,11471
default,1,4,740,Tx Packets,15000
default,1,4,740,Tx Bytes,15420000
default,1,4,740,TxOffered,205.600000
default,1,4,740,Rx Bytes,11229872
default,1,4,740,Throughput,149.731627
default,1,4,740,Mean delay,83.506808
default,1,4,740,Mean jitter,0.089421
default,1,4,740,Rx Packets,10924
default,1,4,760,Tx Packets,15000
default,1,4,760,Tx Bytes,15420000
default,1,4,760,TxOffered,205.600000
default,1,4,760,Rx Bytes,11006796
default,1,4,760,Throughput,146.757280
default,1,4,760,Mean delay,97.884511
default,1,4,760,Mean jitter,0.090337
default,1,4,760,Rx Packets,10707
default,1,4,780,Tx Packets,15000
default,1,4,780,Tx Bytes,15420000
default,1,4,780,TxOffered,205.600000
default,1,4,780,Rx Bytes,11036608
default,1,4,780,Throughput,147.154773
default,1,4,780,Mean delay,119.916365
default,1,4,780,Mean jitter,0.086680
default,1,4,780,Rx Packets,10736
default,1,4,800,Tx Packets,15000
default,1,4,800,Tx Bytes,15420000
default,1,4,800,TxOffered,205.600000
default,1,4,800,Rx Bytes,7334780
default,1,4,800,Throughput,97.797067
default,1,4,800,Mean delay,127.403595
default,1,4,800,Mean jitter,0.110598
default,1,4,800,Rx Packets,7135
default,1,4,820,Tx Packets,15000
default,1,4,820,Tx Bytes,15420000
default,1,4,820,TxOffered,205.600000
default,1,4,820,Rx Bytes,7234036
default,1,4,820,Throughput,96.453813
default,1,4,820,Mean delay,126.003104
default,1,4,820,Mean jitter,0.111508
default,1,4,820,Rx Packets,7037
default,1,4,840,Tx Packets,15000
default,1,4,840,Tx Bytes,15420000
default,1,4,840,TxOffered,205.600000
default,1,4,840,Rx Bytes,7178524
default,1,4,840,Throughput,95.713653
